Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
26588435,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
26789393,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
26993845,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
27191640,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
27392510,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
27594977,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
27794482,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
27995434,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
28197036,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
28402475,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
28604393,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
28805684,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
29006589,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
29207428,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
29408448,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
29610397,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
29812507,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
30015474,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
30222393,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
30422432,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
30623429,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
30825431,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
31027436,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
31227464,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
31429497,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
31633542,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
31849428,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
32050469,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
33050506,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
33250440,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
33450410,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
38090605,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
38300996,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
38501072,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
38701612,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
38903653,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
39105619,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
39305903,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
39508647,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
39710637,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
39911892,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
40114023,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
40313901,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
40516177,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
40718686,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
40927868,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
41128587,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
41338998,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
41540261,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
41739880,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
41939655,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
42142160,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
42340604,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
42540604,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
42741613,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
42940229,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
43142303,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
43342103,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
43540746,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
43740565,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
43941849,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
44143859,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
44343567,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
44543064,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
44743565,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
44943595,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
45143597,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
45343593,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
45547426,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
45751943,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
45950607,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
46151588,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
46353604,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
46553615,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
46755579,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
47756605,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
47956602,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
