Bus,MessageID,Message,MessageLength,Time
130,0x405,0xbd30000000010000,8,0.025973796844482422
0,0x410,0xa410453cd269ffff,8,0.02603626251220703
130,0x359,0x514f34524a353300,8,0.026056766510009766
0,0x411,0x1961505000004404,8,0.02607417106628418
130,0x410,0xa410453cd269ffff,8,0.02608966827392578
0,0x412,0xa3c0000000000000,8,0.02610492706298828
130,0x411,0x1961505000004404,8,0.02612018585205078
0,0x1ab,0xe82b6e5070500000,8,0.02613544464111328
130,0x412,0xa3c0000000000000,8,0.02615213394165039
130,0x1ab,0xe82b6e5070500000,8,0.026175260543823242
0,0x1ac,0x0028000000000000,8,0.026189804077148438
0,0x413,0x4470004100000000,8,0.026204586029052734
130,0x1ac,0x0028000000000000,8,0.02621912956237793
130,0x413,0x4470004100000000,8,0.026234149932861328
0,0x414,0x9f30000028000000,8,0.02624797821044922
130,0x414,0x9f30000028000000,8,0.026262521743774414
0,0x416,0x5500000000000000,8,0.02627706527709961
130,0x416,0x5500000000000000,8,0.0262911319732666
0,0x417,0xd850000000010000,8,0.026305198669433594
130,0x417,0xd850000000010000,8,0.02631974220275879
0,0x418,0xa8100000120c0000,8,0.026332855224609375
130,0x418,0xa8100000120c0000,8,0.02884984016418457
0,0x419,0x063007d585896300,8,0.030824899673461914
130,0x419,0x063007d585896300,8,0.031180858612060547
0,0x36,0xb3d1a85100002505,8,0.031214237213134766
130,0x36,0xb3d1a85100002505,8,0.031235218048095703
0,0x37,0x0000001000400000,8,0.03125619888305664
130,0x37,0x0000001000400000,8,0.03127574920654297
0,0x38,0x04000000f03996d4,8,0.031294822692871094
130,0x38,0x04000000f03996d4,8,0.03131365776062012
0,0x39,0x0000000000000000,8,0.031332969665527344
130,0x39,0x0000000000000000,8,0.031351327896118164
0,0x2d6,0x1a012d0000000000,8,0.0313718318939209
0,0x2eb,0x197b2d0908020002,8,0.031557559967041016
130,0x2d6,0x1a012d0000000000,8,0.03226304054260254
130,0x2eb,0x197b2d0908020002,8,0.03231620788574219
0,0x2d7,0x0000000003000000,8,0.03233647346496582
0,0x2ec,0x0200000000000000,8,0.03235602378845215
130,0x2d7,0x0000000003000000,8,0.032375335693359375
0,0x2d8,0x0000000000003830,8,0.0323939323425293
130,0x2ec,0x0200000000000000,8,0.032652854919433594
0,0x2ed,0x0000000000000000,8,0.03268098831176758
130,0x2d8,0x0000000000003830,8,0.03327608108520508
0,0x2d9,0x0000000000000000,8,0.03332781791687012
130,0x2ed,0x0000000000000000,8,0.03334832191467285
0,0x2ee,0x0000000000000000,8,0.03336834907531738
130,0x2d9,0x0000000000000000,8,0.03382372856140137
130,0x2ee,0x0000000000000000,8,0.03392386436462402
0,0x11b,0x4eb7e7058008a802,8,0.03420686721801758
130,0x11b,0x4eb7e7058008a802,8,0.03423643112182617
0,0x11c,0x0005200022000101,8,0.03425741195678711
0,0x12b,0x094de70600000800,8,0.03427600860595703
130,0x11c,0x0005200022000101,8,0.03433799743652344
130,0x12b,0x094de70600000800,8,0.03435778617858887
0,0x12c,0x0000010000640000,8,0.03437638282775879
130,0x12c,0x0000010000640000,8,0.034393310546875
0,0x10b,0x7831980000000005,8,0.03441190719604492
0,0x10c,0xfff9e71f322f3131,8,0.034430742263793945
130,0x10b,0x7831980000000005,8,0.03444862365722656
130,0x10c,0xfff9e71f322f3131,8,0.03446674346923828
0,0x10d,0xe002000000000135,8,0.034483909606933594
0,0x151,0xe63a5da0c8002808,8,0.034502506256103516
130,0x10d,0xe002000000000135,8,0.03468751907348633
0,0x10e,0x00000a0000c0ab57,8,0.03471183776855469
130,0x151,0xe63a5da0c8002808,8,0.03473162651062012
0,0x152,0x0708080032000000,8,0.03474998474121094
130,0x10e,0x00000a0000c0ab57,8,0.03476762771606445
0,0x236,0xbb845d00705ab665,8,0.03478527069091797
130,0x152,0x0708080032000000,8,0.034802913665771484
0,0x153,0x0000000000000000,8,0.0348210334777832
130,0x236,0xbb845d00705ab665,8,0.03483867645263672
0,0x1f6,0xac7b5d000000000e,8,0.034857749938964844
130,0x153,0x0000000000000000,8,0.03500723838806152
0,0x154,0x0000000000000000,8,0.035022735595703125
130,0x1f6,0xac7b5d000000000e,8,0.035034894943237305
0,0x1f7,0x2b00b20200000000,8,0.03504657745361328
130,0x154,0x0000000000000000,8,0.03506135940551758
0,0x146,0xa6d8cc1004010000,8,0.035073280334472656
130,0x1f7,0x2b00b20200000000,8,0.03508472442626953
0,0x1f8,0x0045013101000000,8,0.03509688377380371
130,0x146,0xa6d8cc1004010000,8,0.035108327865600586
0,0x147,0x00047d0040000000,8,0.03511953353881836
130,0x1f8,0x0045013101000000,8,0.035130977630615234
0,0x61,0xa424010000000000,8,0.035143136978149414
130,0x147,0x00047d0040000000,8,0.03515434265136719
0,0x148,0x0000000000624005,8,0.03516650199890137
130,0x61,0xa424010000000000,8,0.03517770767211914
0,0x62,0x0202000240ff00ff,8,0.03518939018249512
130,0x148,0x0000000000624005,8,0.03520059585571289
0,0x149,0x0000000000000000,8,0.035212039947509766
130,0x62,0x0202000240ff00ff,8,0.035223960876464844
0,0x63,0x000005000008fd00,8,0.03523564338684082
130,0x149,0x0000000000000000,8,0.0352480411529541
0,0x1f9,0x4600a0c814004600,8,0.03525948524475098
130,0x63,0x000005000008fd00,8,0.03527092933654785
0,0x64,0x00000004fffa0000,8,0.03529238700866699
130,0x1f9,0x4600a0c814004600,8,0.03530526161193848
0,0x237,0x00057f0000b41c00,8,0.03531765937805176
130,0x64,0x00000004fffa0000,8,0.035329580307006836
0,0x91,0x49ff5c0000000000,8,0.035341501235961914
130,0x237,0x00057f0000b41c00,8,0.03535294532775879
0,0x1b1,0xef95cc0072000000,8,0.035364389419555664
130,0x91,0x49ff5c0000000000,8,0.03537631034851074
0,0x92,0x0000000000000000,8,0.03538918495178223
130,0x1b1,0xef95cc0072000000,8,0.035401344299316406
0,0x1b2,0x2300040e10415299,8,0.03541421890258789
130,0x92,0x0000000000000000,8,0.03542613983154297
0,0x93,0x0000000000000000,8,0.03543829917907715
130,0x1b2,0x2300040e10415299,8,0.035451412200927734
0,0x1b3,0x101700006471796f,8,0.035463809967041016
130,0x93,0x0000000000000000,8,0.03547549247741699
0,0x94,0x0000000000000000,8,0.03548717498779297
130,0x1b3,0x101700006471796f,8,0.03550004959106445
0,0x1b4,0x776e170000400000,8,0.03551197052001953
130,0x94,0x0000000000000000,8,0.03552389144897461
0,0xa1,0xcca8014b01000000,8,0.03553581237792969
130,0x1b4,0x776e170000400000,8,0.03554725646972656
0,0x238,0x0000d20000000000,8,0.035559892654418945
130,0xa1,0xcca8014b01000000,8,0.03557157516479492
0,0xa2,0x0000000000000000,8,0.03558349609375
130,0x238,0x0000d20000000000,8,0.03559565544128418
0,0x1f1,0x2361cd0100002800,8,0.03560781478881836
130,0xa2,0x0000000000000000,8,0.035619497299194336
0,0xa3,0x0040010000000000,8,0.03563094139099121
130,0x1f1,0x2361cd0100002800,8,0.03564310073852539
0,0x1f2,0x0000000000000000,8,0.03565526008605957
130,0xa3,0x0040010000000000,8,0.03566694259643555
0,0x239,0x0000000001000000,8,0.03567910194396973
130,0x1f2,0x0000000000000000,8,0.035692691802978516
0,0x2fb,0x640a5d04d208bfbf,8,0.035704612731933594
130,0x239,0x0000000001000000,8,0.03571677207946777
0,0x25b,0xb79a5d4040200000,8,0.03572893142700195
130,0x2fb,0x640a5d04d208bfbf,8,0.03574037551879883
0,0x2fc,0x030007080000907f,8,0.03575253486633301
130,0x25b,0xb79a5d4040200000,8,0.03576469421386719
0,0x25c,0x00002b001f520600,8,0.035776615142822266
130,0x2fc,0x030007080000907f,8,0.035788536071777344
0,0x2fd,0x00000000001c05ea,8,0.03580498695373535
130,0x25c,0x00002b001f520600,8,0.03581714630126953
0,0x25d,0x00c800000080c070,8,0.035829782485961914
130,0x2fd,0x00000000001c05ea,8,0.03584146499633789
0,0x2fe,0x0000720100280000,8,0.03585362434387207
130,0x25d,0x00c800000080c070,8,0.035865068435668945
0,0x25e,0x8f010e0c00000000,8,0.03587675094604492
130,0x2fe,0x0000720100280000,8,0.0358884334564209
0,0x326,0x865c5d0000000000,8,0.03590059280395508
130,0x25e,0x8f010e0c00000000,8,0.03591203689575195
0,0x327,0x0000000005000000,8,0.03592324256896973
130,0x326,0x865c5d0000000000,8,0.035935401916503906
0,0x328,0xb202460000450100,8,0.03594803810119629
130,0x327,0x0000000005000000,8,0.03595924377441406
0,0x329,0xa031010000000000,8,0.03597116470336914
130,0x328,0xb202460000450100,8,0.03598332405090332
0,0x331,0x4aa95df1c8a02c97,8,0.0359952449798584
130,0x329,0xa031010000000000,8,0.03600740432739258
0,0x332,0x140ac00300000000,8,0.036019086837768555
130,0x331,0x4aa95df1c8a02c97,8,0.036031484603881836
0,0x333,0x0000001c0c4020a0,8,0.036043405532836914
130,0x332,0x140ac00300000000,8,0.036055803298950195
0,0x334,0xc80000004069c786,8,0.03606748580932617
130,0x333,0x0000001c0c4020a0,8,0.03621935844421387
130,0x334,0xc80000004069c786,8,0.03623366355895996
0,0x3b1,0x07ef014000002000,8,0.036246538162231445
130,0x3b1,0x07ef014000002000,8,0.03625917434692383
0,0x19b,0x615b100000e40000,8,0.03627133369445801
