Bus,MessageID,Message,MessageLength,Time
130,0x565,0x661200000000ffff,8,0.024052858352661133
0,0x3e0,0x6ae0010000000000,8,0.024132728576660156
130,0x3c3,0x4510313036000000,8,0.024156570434570312
0,0x41b,0xbe70000000000000,8,0.02417778968811035
130,0x41a,0x9540120000000000,8,0.024196386337280273
0,0x3e5,0x6910000000000000,8,0.024216175079345703
130,0x3e0,0x6ae0010000000000,8,0.02423405647277832
0,0x41c,0x5090e00000000000,8,0.024253129959106445
130,0x41b,0xbe70000000000000,8,0.02427077293395996
0,0x3e6,0x7f00000000000000,8,0.024296998977661133
130,0x3e5,0x6910000000000000,8,0.02431631088256836
0,0x422,0x9500010000000400,8,0.024333477020263672
130,0x41c,0x5090e00000000000,8,0.02435135841369629
128,0x642,0x0000000000000000,8,0.024370431900024414
130,0x3e6,0x7f00000000000000,8,0.024388551712036133
0,0x432,0x0320020000000000,8,0.02446269989013672
130,0x422,0x9500010000000400,8,0.024480342864990234
0,0x435,0x4b300040000000ff,8,0.02449321746826172
130,0x432,0x0320020000000000,8,0.024505615234375
0,0x33b,0x4392bf0000000000,8,0.024518728256225586
130,0x435,0x4b300040000000ff,8,0.024530887603759766
0,0x442,0xce20118100000000,8,0.02454400062561035
130,0x33b,0x4392bf0000000000,8,0.024556636810302734
0,0x33c,0x00000000f0000000,8,0.024569034576416016
130,0x442,0xce20118100000000,8,0.024581193923950195
0,0x356,0x31f0df0000000000,8,0.02459406852722168
130,0x33c,0x00000000f0000000,8,0.02460646629333496
0,0x33d,0x0000000000000000,8,0.02462005615234375
130,0x356,0x31f0df0000000000,8,0.02463245391845703
0,0x357,0x00000000004b4d48,8,0.02464461326599121
130,0x33d,0x0000000000000000,8,0.024657726287841797
0,0x33e,0x0000000000000000,8,0.024670124053955078
130,0x357,0x00000000004b4d48,8,0.02468395233154297
0,0x358,0x3541454d5237334f,8,0.024696826934814453
130,0x33e,0x0000000000000000,8,0.024709463119506836
0,0x444,0x9e50000000000000,8,0.024721384048461914
0,0x359,0x514f34524a353300,8,0.024733304977416992
130,0x358,0x3541454d5237334f,8,0.024746417999267578
0,0x445,0x77a0000000000018,8,0.024758577346801758
130,0x444,0x9e50000000000000,8,0.024771928787231445
130,0x359,0x514f34524a353300,8,0.024785518646240234
0,0x464,0xc5c0f0ff387f0500,8,0.02479839324951172
130,0x445,0x77a0000000000018,8,0.0248105525970459
130,0x464,0xc5c0f0ff387f0500,8,0.024823665618896484
0,0x36f,0x2541050000000000,8,0.02483677864074707
130,0x36f,0x2541050000000000,8,0.02484917640686035
0,0x37f,0x9340522441020000,8,0.024862051010131836
