Bus,MessageID,Message,MessageLength,Time
0,0x19b,0x7acc7e0000e40000,8,0.024203062057495117
130,0x19b,0x7acc7e0000e40000,8,0.02427363395690918
0,0x19c,0x4020000000000b09,8,0.024314403533935547
130,0x19c,0x4020000000000b09,8,0.024336576461791992
0,0x19d,0x0010000100000000,8,0.024356603622436523
0,0x1b1,0xb5a1030072000000,8,0.024382829666137695
130,0x19d,0x0010000100000000,8,0.024402856826782227
0,0x121,0x5278060000000005,8,0.02442193031311035
130,0x1b1,0xb5a1030072000000,8,0.024440526962280273
0,0x1b2,0x2300040e101f5299,8,0.024470806121826172
130,0x121,0x5278060000000005,8,0.02448725700378418
0,0x122,0xffd9671f322f3232,8,0.0245053768157959
130,0x1b2,0x2300040e101f5299,8,0.024522781372070312
0,0x1b3,0x101600006470786e,8,0.024542808532714844
130,0x122,0xffd9671f322f3232,8,0.02455925941467285
0,0x123,0xe002000000000135,8,0.02457714080810547
130,0x1b3,0x101600006470786e,8,0.024594783782958984
0,0x1b4,0x776d170000400000,8,0.024611949920654297
130,0x123,0xe002000000000135,8,0.024628877639770508
0,0x124,0x00000a0000002040,8,0.02465057373046875
130,0x1b4,0x776d170000400000,8,0.024667739868164062
0,0x19e,0x1500000000320000,8,0.02468419075012207
130,0x124,0x00000a0000002040,8,0.024721145629882812
130,0x19e,0x1500000000320000,8,0.024738073348999023
0,0x1a1,0xab43adfef77f6400,8,0.024755477905273438
130,0x1a1,0xab43adfef77f6400,8,0.024772167205810547
0,0x1a2,0x0000000000080000,8,0.024789094924926758
130,0x1a2,0x0000000000080000,8,0.024807214736938477
0,0x1a3,0xfff33f0000000000,8,0.024823665618896484
130,0x1a3,0xfff33f0000000000,8,0.024840116500854492
0,0x1a4,0xfe07000000000000,8,0.0248568058013916
130,0x1a4,0xfe07000000000000,8,0.024873971939086914
0,0x36f,0x5f81010000000000,8,0.02489018440246582
130,0x36f,0x5f81010000000000,8,0.024907827377319336
0,0x37f,0x5de0522441020000,8,0.02492547035217285
130,0x37f,0x5de0522441020000,8,0.02494192123413086
0,0x36,0xf9211b5100002505,8,0.024957895278930664
130,0x36,0xf9211b5100002505,8,0.02497553825378418
0,0x37,0x0000001000400000,8,0.024992704391479492
130,0x37,0x0000001000400000,8,0.0250091552734375
0,0x38,0x04000000f03996d4,8,0.025045156478881836
130,0x38,0x04000000f03996d4,8,0.025081396102905273
0,0x39,0x0000000000000000,8,0.025098800659179688
130,0x39,0x0000000000000000,8,0.02511453628540039
0,0x405,0xbd30000000010000,8,0.0251309871673584
130,0x405,0xbd30000000010000,8,0.02515435218811035
0,0x410,0xa410453cd269ffff,8,0.025230884552001953
130,0x410,0xa410453cd269ffff,8,0.02525186538696289
0,0x411,0x1961505000004404,8,0.025269508361816406
130,0x411,0x1961505000004404,8,0.025287866592407227
0,0x412,0xa3c0000000000000,8,0.025305509567260742
130,0x412,0xa3c0000000000000,8,0.025324106216430664
0,0x413,0x4470004100000000,8,0.025346040725708008
130,0x413,0x4470004100000000,8,0.025362491607666016
0,0x414,0x9f30000028000000,8,0.02537846565246582
130,0x414,0x9f30000028000000,8,0.02539515495300293
0,0x416,0x5500000000000000,8,0.02541184425354004
0,0x2e6,0xefde660100000015,8,0.025427818298339844
130,0x416,0x5500000000000000,8,0.02544426918029785
0,0x256,0xd08166150000f000,8,0.025461435317993164
130,0x2e6,0xefde660100000015,8,0.02547907829284668
0,0x2e7,0x0a00000000000000,8,0.0254974365234375
130,0x256,0xd08166150000f000,8,0.025515079498291016
0,0x257,0x00952e1871070095,8,0.02553248405456543
130,0x2e7,0x0a00000000000000,8,0.02555084228515625
0,0x2e8,0x0000000000000000,8,0.025568246841430664
130,0x257,0x00952e1871070095,8,0.025588035583496094
0,0x258,0x078a1c0010150014,8,0.025607585906982422
130,0x2e8,0x0000000000000000,8,0.02562570571899414
0,0x2e9,0x0000000000000000,8,0.02564382553100586
130,0x258,0x078a1c0010150014,8,0.025661945343017578
0,0x259,0x5a058c3c50020000,8,0.025680065155029297
130,0x2e9,0x0000000000000000,8,0.025697946548461914
0,0x417,0xd850000000010000,8,0.02571582794189453
130,0x259,0x5a058c3c50020000,8,0.025733470916748047
0,0x418,0xa8100000120c0000,8,0.02575206756591797
130,0x417,0xd850000000010000,8,0.0257723331451416
0,0x419,0x7a5009d581896300,8,0.02579021453857422
130,0x418,0xa8100000120c0000,8,0.02580881118774414
130,0x419,0x7a5009d581896300,8,0.02582836151123047
0,0x10b,0x99580b0000000005,8,0.025847196578979492
130,0x10b,0x99580b0000000005,8,0.025866031646728516
0,0x10c,0xfff9e71f322f3131,8,0.02588510513305664
130,0x10c,0xfff9e71f322f3131,8,0.02590489387512207
0,0x10d,0xe002000000000135,8,0.0259244441986084
130,0x10d,0xe002000000000135,8,0.025942564010620117
0,0x10e,0x00000a0000c0ab57,8,0.025960206985473633
130,0x10e,0x00000a0000c0ab57,8,0.025978565216064453
0,0x61,0xc276740000000000,8,0.025998353958129883
130,0x61,0xc276740000000000,8,0.026017189025878906
0,0x62,0x0202000240ff00ff,8,0.026036500930786133
130,0x62,0x0202000240ff00ff,8,0.026054859161376953
