Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
5000,000000C7,false,Rx,0,8,0,0,0,0,0,0,0,0
45337,000000C7,false,Rx,0,8,0,0,0,0,0,0,0,0
85141,000000C7,false,Rx,0,8,0,0,0,E0,7,0,0,0
124957,000000C7,false,Rx,0,8,0,0,0,E0,7,0,0,0
165139,000000C7,false,Rx,0,8,0,0,0,E0,7,0,0,0
