Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
112609809,000004CE,false,Rx,0,8,14,01,FF,FF,FF,FF,FF,FF,
112610772,000002AD,false,Rx,0,8,00,01,00,40,FF,FF,FF,0F,
112610813,000004D7,false,Rx,0,8,23,01,00,00,00,00,00,00,
112610843,000002AE,false,Rx,0,8,01,00,FF,3F,00,01,00,00,
112611546,000004D8,false,Rx,0,8,41,10,F0,F0,40,F2,1E,CC,
112612116,0000010B,false,Rx,0,8,EA,D8,26,00,00,16,00,05,
112612262,000002B6,false,Rx,0,8,E4,9C,39,01,00,00,00,40,
112612500,0000010C,false,Rx,0,8,FF,F9,E7,1F,34,31,34,32,
112612543,000002B7,false,Rx,0,8,12,01,7F,00,00,04,00,00,
112612584,0000010D,false,Rx,0,8,F2,02,16,00,10,00,00,35,
112612626,000002B8,false,Rx,0,8,23,B1,0B,00,00,00,00,00,
112612664,0000010E,false,Rx,0,8,7C,00,0A,00,7C,C0,AB,57,
112612733,000001A1,false,Rx,0,8,D6,86,B6,FE,F7,7F,64,00,
112614791,000002B9,false,Rx,0,8,0A,00,00,00,00,00,00,00,
112614944,00000121,false,Rx,0,8,AE,C9,26,00,00,1E,00,05,
112615077,000001A2,false,Rx,0,8,00,00,00,00,00,08,00,00,
112615130,000000FF,false,Rx,0,8,CB,10,00,00,00,00,02,00,
112615228,00000122,false,Rx,0,8,FF,D9,67,1F,3C,31,3C,33,
112615293,00000124,false,Rx,0,8,7C,00,0A,00,7C,00,20,40,
112615415,00000062,false,Rx,0,8,02,02,00,02,40,FF,00,FF,
112615470,000001A4,false,Rx,0,8,FE,07,00,00,00,00,00,00,
112615715,00000063,false,Rx,0,8,9C,01,15,00,00,08,FD,00,
112616704,000002C1,false,Rx,0,8,C2,DA,1D,21,00,41,00,A1,
112616761,00000064,false,Rx,0,8,00,00,00,04,FF,FA,00,00,
112616792,000002C2,false,Rx,0,8,40,00,00,00,00,00,00,00,
112616820,000000A1,false,Rx,0,8,87,41,08,02,04,00,00,00,
112616858,000002C3,false,Rx,0,8,00,00,00,00,00,00,00,00,
112617706,000000A2,false,Rx,0,8,00,00,00,00,00,00,00,00,
112617768,000002C4,false,Rx,0,8,00,00,00,00,00,00,00,00,
112617806,000000A3,false,Rx,0,8,00,40,01,00,00,00,00,00,
112618011,000002E1,false,Rx,0,8,3A,4D,39,00,00,00,00,40,
112618042,0000033B,false,Rx,0,8,AD,D4,3F,00,00,00,00,00,
112619419,000002E2,false,Rx,0,8,FD,00,00,00,00,14,00,04,
112619490,0000033C,false,Rx,0,8,00,00,00,00,F0,00,00,00,
112619548,000002E3,false,Rx,0,8,00,00,00,00,00,00,72,01,
112619579,0000033D,false,Rx,0,8,00,00,00,00,00,00,00,00,
112619623,000002E4,false,Rx,0,8,02,00,00,00,00,00,00,00,
112619678,0000019B,false,Rx,0,8,05,E0,7B,00,00,E4,00,00,
112620696,0000033E,false,Rx,0,8,00,00,00,00,00,00,00,00,
112620729,0000019C,false,Rx,0,8,40,20,00,00,00,00,0B,09,
112620759,0000036F,false,Rx,0,8,38,D1,01,00,00,00,00,00,
112620796,0000019D,false,Rx,0,8,00,10,00,01,00,00,00,00,
112620831,0000034B,false,Rx,0,8,F2,B7,9F,31,D8,0D,05,01,
112622100,0000019E,false,Rx,0,8,15,00,00,00,00,32,00,00,
112622448,0000034C,false,Rx,0,8,00,00,00,00,00,00,00,00,
112622518,000003C3,false,Rx,0,8,45,10,31,30,36,00,00,00,
112622581,0000034D,false,Rx,0,8,00,00,00,00,00,00,00,00,
112622647,000003B2,false,Rx,0,8,36,15,FF,02,29,2F,34,00,
112622688,0000034E,false,Rx,0,8,00,00,00,00,00,00,00,00,
112622986,00000356,false,Rx,0,8,A8,95,1F,00,00,00,00,00,
112623061,000001FB,false,Rx,0,8,AF,15,BE,00,00,00,00,00,
112623469,00000357,false,Rx,0,8,00,00,00,00,00,4B,4D,48,
112624588,000001FC,false,Rx,0,8,00,00,00,00,00,00,00,00,
112624672,00000358,false,Rx,0,8,35,41,45,4D,52,37,33,4F,
112624745,000001FD,false,Rx,0,8,00,1A,03,00,00,00,00,00,
112624790,00000359,false,Rx,0,8,51,4F,34,52,4A,35,33,00,
112624835,000001FE,false,Rx,0,8,00,00,00,00,00,00,00,00,
112624902,0000037F,false,Rx,0,8,83,A0,52,24,41,02,00,00,
112624950,000003E5,false,Rx,0,8,48,40,01,00,00,00,00,00,
112626067,00000380,false,Rx,0,8,AD,D7,FF,00,00,00,00,01,
112626158,000003E6,false,Rx,0,8,6F,E0,00,00,00,00,00,00,
112626235,00000383,false,Rx,0,8,C1,AA,00,00,02,00,00,00,
112626294,0000041A,false,Rx,0,8,AC,10,12,00,50,41,00,00,
112626341,00000394,false,Rx,0,8,2A,22,1A,49,00,00,00,00,
112626376,0000041B,false,Rx,0,8,70,D0,00,00,00,00,00,00,
112626700,000003B0,false,Rx,0,8,72,37,FF,C7,00,00,03,C0,
112626767,0000041C,false,Rx,0,8,9C,40,E8,00,00,00,00,00,
112627690,000003B1,false,Rx,0,8,9B,3C,FF,40,00,00,20,00,
112627746,00000422,false,Rx,0,8,CF,B0,01,00,00,00,00,00,
112627782,000004DD,false,Rx,0,8,00,00,FE,00,04,00,00,00,
112627829,00000427,false,Rx,0,8,1D,86,FF,00,80,0A,00,00,
112628735,000004DF,false,Rx,0,8,FF,03,0C,3F,00,00,00,00,
112628771,00000432,false,Rx,0,8,03,20,02,00,00,00,00,00,
112628810,000004E7,false,Rx,0,8,00,30,00,00,00,00,69,00,
112628846,0000042A,false,Rx,0,8,F4,DE,FF,01,00,10,00,00,
112630228,000004E8,false,Rx,0,8,FF,FF,FF,02,FF,FF,FF,00,
112630349,00000435,false,Rx,0,8,38,E0,00,10,00,00,00,00,
112630407,000004E9,false,Rx,0,8,12,00,00,34,00,00,50,00,
112630476,00000442,false,Rx,0,8,CE,20,11,81,00,00,00,00,
112630517,000004EA,false,Rx,0,8,67,00,00,89,00,00,00,00,
112630551,00000444,false,Rx,0,8,C5,C0,20,50,55,50,00,00,
112630635,000004EB,false,Rx,0,8,40,98,27,09,80,00,00,00,
112630692,00000445,false,Rx,0,8,67,40,00,00,00,00,00,18,
112631709,000004EC,false,Rx,0,8,00,00,00,00,00,00,00,00,
112631754,00000464,false,Rx,0,8,AA,E0,F0,FF,38,7F,05,00,
112631787,000004ED,false,Rx,0,8,00,00,00,00,00,FF,FF,1F,
112631833,000004EE,false,Rx,0,8,FF,FF,00,00,00,00,00,00,
112632688,00000405,false,Rx,0,8,BD,30,00,00,00,01,00,00,
112632719,00000384,false,Rx,0,8,9C,14,01,00,00,FF,00,21,
112632758,00000410,false,Rx,0,8,3B,10,4C,3C,4F,6A,FF,FF,
112632793,000004EF,false,Rx,0,8,59,08,00,00,29,14,00,00,
112633742,00000411,false,Rx,0,8,CF,51,50,50,00,00,44,04,
112633874,00000413,false,Rx,0,8,54,90,00,41,00,00,00,00,
112633932,00000412,false,Rx,0,8,48,10,00,00,00,00,04,00,
112634039,00000414,false,Rx,0,8,26,20,00,00,28,00,00,00,
112634101,000004F0,false,Rx,0,8,4A,13,27,09,48,1A,17,02,
112634149,00000416,false,Rx,0,8,55,00,00,00,00,00,00,00,
112634780,000004F1,false,Rx,0,8,00,C0,00,00,00,00,00,00,
112634855,00000417,false,Rx,0,8,69,30,00,00,00,01,00,00,
112634882,000004F2,false,Rx,0,8,02,FF,DD,FF,03,01,00,00,
112635839,00000418,false,Rx,0,8,A7,30,00,00,12,4C,00,00,
112635927,000004F3,false,Rx,0,8,00,00,00,00,F0,00,00,00,
112636051,00000419,false,Rx,0,8,35,C0,2A,D5,81,89,65,00,
112636117,0000048F,false,Rx,0,8,AD,10,41,00,05,00,00,00,
112636168,000004F9,false,Rx,0,8,E0,FF,FF,FF,FF,FF,FF,FF,
112636862,000004FE,false,Rx,0,8,69,23,00,03,CF,00,48,A8,
112636928,0000063D,false,Rx,0,8,00,80,00,00,00,00,00,00,
112636954,0000063E,false,Rx,0,8,FF,FF,FF,FF,FF,FF,FF,FF,
112637773,0000063F,false,Rx,0,8,00,10,00,C4,FF,00,00,00,
112637885,00000640,false,Rx,0,8,FF,FF,FF,00,FF,FF,FF,00,
112637976,00000641,false,Rx,0,8,FF,FF,FF,FF,0F,FF,FF,FF,
112638044,00000646,false,Rx,0,8,00,00,00,80,01,00,00,00,
112639796,00000565,false,Rx,0,8,66,02,00,00,00,00,FF,FF,
112644726,000001AB,false,Rx,0,8,07,56,49,40,70,48,00,00,
112644782,000001AC,false,Rx,0,8,00,28,00,00,00,00,00,00,
112644817,00000226,false,Rx,0,8,BC,46,41,FF,AA,20,07,42,
112645693,00000227,false,Rx,0,8,02,3A,1E,08,00,F2,A7,02,
112645733,000002FF,false,Rx,0,8,E0,B2,00,C1,00,00,00,00,
112646691,00000316,false,Rx,0,8,AD,21,20,A4,0A,80,0A,00,
112646726,00000317,false,Rx,0,8,00,00,05,00,00,00,00,00,
112646761,00000472,false,Rx,0,8,5C,EC,00,40,08,41,00,45,
112646790,00000473,false,Rx,0,8,5F,24,00,25,00,00,00,78,
112647700,000002E6,false,Rx,0,8,5D,39,36,01,00,00,00,15,
112647729,00000256,false,Rx,0,8,9B,69,36,15,00,00,20,01,
112647767,000002E7,false,Rx,0,8,0A,00,00,00,00,00,00,00,
112647805,00000257,false,Rx,0,8,00,95,2E,1E,72,07,00,95,
112647864,000002E8,false,Rx,0,8,00,00,00,00,00,00,00,00,
112648756,00000258,false,Rx,0,8,02,42,1D,00,10,15,00,14,
112648874,00000036,false,Rx,0,8,59,FA,3B,51,05,00,25,01,
112648919,00000259,false,Rx,0,8,75,05,8E,3C,50,02,00,00,
112648977,00000037,false,Rx,0,8,00,4B,01,10,7C,40,7C,00,
112649855,000002E9,false,Rx,0,8,00,00,00,00,00,00,00,00,
112649912,00000038,false,Rx,0,8,04,00,00,00,90,38,96,D4,
112649951,00000474,false,Rx,0,8,53,98,00,00,00,00,00,10,
112650191,00000039,false,Rx,0,8,05,00,00,00,00,00,00,00,
112652725,0000011B,false,Rx,0,8,8E,5C,71,05,80,08,A8,02,
112652779,0000012B,false,Rx,0,8,C9,A6,71,06,00,00,08,00,
112652826,0000011C,false,Rx,0,8,00,05,20,00,22,00,01,01,
112653690,0000012C,false,Rx,0,8,00,00,01,00,00,64,00,00,
112653717,000002BF,false,Rx,0,8,FF,FF,FF,00,00,00,00,00,
112653759,0000047F,false,Rx,0,8,FF,FF,FF,FF,FF,FF,FF,FF,
112654849,00000653,false,Rx,0,8,0A,19,03,01,02,2A,00,00,
112657734,00000419,false,Rx,0,8,90,D0,2A,D5,7D,89,65,00,
112661723,0000010B,false,Rx,0,8,E7,6C,2B,00,00,16,00,05,
112661777,0000010C,false,Rx,0,8,FF,F9,E7,1F,34,31,34,31,
112661827,0000010D,false,Rx,0,8,F2,02,16,00,10,00,00,35,
112661872,0000010E,false,Rx,0,8,7C,00,0A,00,7C,C0,AB,57,
112663879,00000121,false,Rx,0,8,A3,0F,2B,00,00,1E,00,05,
112663959,00000122,false,Rx,0,8,FF,D9,67,1F,3C,31,3C,33,
112664022,00000123,false,Rx,0,8,F2,02,1E,00,10,00,00,35,
112664088,00000124,false,Rx,0,8,7C,00,0A,00,7C,00,20,40,
112664707,00000061,false,Rx,0,8,2F,9C,0D,00,00,00,00,00,
112665097,00000062,false,Rx,0,8,02,02,00,02,40,FF,00,FF,
112665196,00000063,false,Rx,0,8,9C,01,15,00,00,08,FD,00,
112665254,00000064,false,Rx,0,8,00,00,00,04,FF,FA,00,00,
112665940,000000A1,false,Rx,0,8,88,AA,0D,02,04,00,00,00,
112666007,000000A2,false,Rx,0,8,00,00,00,00,00,00,00,00,
112666062,000000A3,false,Rx,0,8,00,40,01,00,00,00,00,00,
112669823,0000019B,false,Rx,0,8,4A,D9,80,00,00,E4,00,00,
112669878,0000019C,false,Rx,0,8,40,20,00,00,00,00,0B,09,
112669933,0000019D,false,Rx,0,8,00,10,00,01,00,00,00,00,
112670692,0000019E,false,Rx,0,8,15,00,00,00,00,32,00,00,
112673762,0000030B,false,Rx,0,8,89,91,40,00,04,00,00,00,
112674029,0000030C,false,Rx,0,8,00,00,0E,00,2C,00,A0,0F,
112674094,0000030D,false,Rx,0,8,00,00,00,00,2F,00,00,00,
112674163,0000030E,false,Rx,0,8,00,00,30,05,21,00,00,00,
112684727,00000396,false,Rx,0,8,9C,DF,1B,0F,0C,05,00,02,
112684783,00000397,false,Rx,0,8,C0,80,00,00,00,00,00,00,
112684835,00000398,false,Rx,0,8,00,00,00,00,00,00,00,00,
112686158,000002D6,false,Rx,0,8,CC,A6,1B,00,00,00,00,00,
112686235,000002D7,false,Rx,0,8,00,00,00,00,03,00,00,0A,
112686279,000002EB,false,Rx,0,8,E6,AB,1B,0A,0C,02,00,02,
112686362,000002D8,false,Rx,0,8,0A,00,00,00,00,00,38,30,
112686430,000002EC,false,Rx,0,8,95,5E,00,00,00,00,00,00,
112686766,000002D9,false,Rx,0,8,00,00,00,00,00,00,00,00,
112687686,000002ED,false,Rx,0,8,00,00,00,00,00,00,00,00,
112687731,000002EE,false,Rx,0,8,00,00,00,00,00,00,00,00,
112687759,00000236,false,Rx,0,8,8D,BD,39,00,4E,48,B6,65,
112687787,000002FB,false,Rx,0,8,EE,54,39,04,FD,09,C4,C4,
112688697,00000237,false,Rx,0,8,00,25,95,00,00,6C,1D,00,
112688741,00000151,false,Rx,0,8,58,59,39,A0,C8,00,28,08,
112688780,00000238,false,Rx,0,8,00,00,FD,00,00,00,00,00,
112688823,00000152,false,Rx,0,8,07,07,07,00,2E,00,00,00,
112689696,00000239,false,Rx,0,8,00,00,00,00,01,00,00,00,
112689736,00000153,false,Rx,0,8,00,00,00,00,00,00,00,00,
112689762,000001F6,false,Rx,0,8,02,85,39,00,00,00,00,0E,
112689795,00000154,false,Rx,0,8,00,00,00,00,00,00,00,00,
112690690,000001F7,false,Rx,0,8,2E,00,B4,00,00,00,00,00,
112690733,000002FC,false,Rx,0,8,07,00,07,08,00,00,90,97,
112690775,000001F8,false,Rx,0,8,00,55,00,50,00,00,00,00,
112690821,000002FD,false,Rx,0,8,00,00,00,00,00,1C,09,EA,
112691686,000001F9,false,Rx,0,8,14,00,A0,C8,14,00,14,00,
112691723,000002FE,false,Rx,0,8,00,00,72,01,00,28,00,00,
112691751,0000025B,false,Rx,0,8,EE,68,39,40,40,20,00,00,
112691782,00000326,false,Rx,0,8,1C,1C,39,00,00,00,00,00,
112692811,0000025C,false,Rx,0,8,00,00,2E,00,23,63,08,00,
112692866,00000327,false,Rx,0,8,00,00,00,00,05,00,00,00,
112692911,0000025D,false,Rx,0,8,00,C8,00,00,00,80,C0,70,
112692957,00000328,false,Rx,0,8,B4,00,14,00,00,55,00,00,
112692982,0000025E,false,Rx,0,8,07,02,09,01,00,00,00,00,
112693694,00000329,false,Rx,0,8,A0,50,00,00,00,00,00,00,
112693734,00000331,false,Rx,0,8,D4,6E,39,F1,C8,A0,2C,97,
112693763,00000332,false,Rx,0,8,C8,0A,E0,01,00,00,00,00,
87768,00000333,false,Rx,0,8,00,00,00,1C,0C,40,20,A0,
87858,00000334,false,Rx,0,8,C8,00,00,00,40,69,C7,86,
90777,00000419,false,Rx,0,8,90,D0,2A,D5,7D,89,65,00,
90846,00000487,false,Rx,0,8,00,00,00,00,00,00,00,00,
91746,00000642,false,Rx,0,8,FF,FF,FF,FF,FF,FF,00,00,
91811,00000036,false,Rx,0,8,F8,85,40,51,05,00,25,01,
91855,00000645,false,Rx,0,8,2B,36,06,B9,E6,32,56,00,
91892,00000037,false,Rx,0,8,00,4B,01,10,7C,40,7C,00,
92698,00000038,false,Rx,0,8,04,00,00,00,90,38,96,D4,
92741,000001F1,false,Rx,0,8,DA,C3,D0,00,00,00,24,00,
92783,00000039,false,Rx,0,8,05,00,00,00,00,00,00,00,
92836,000001F2,false,Rx,0,8,00,00,00,00,00,00,00,00,
95709,00000091,false,Rx,0,8,2D,44,37,00,00,00,00,00,
95751,00000092,false,Rx,0,8,00,00,00,00,00,00,00,00,
